,start_year,eruptions
1256,1656.0,1.0
1257,1657.0,2.0
1258,1658.0,4.0
1259,1659.0,7.0
1260,1660.0,8.0
1261,1661.0,2.0
1262,1662.0,3.0
1263,1663.0,7.0
1264,1664.0,3.0
1265,1665.0,1.0
1266,1666.0,2.0
1267,1667.0,2.0
1268,1668.0,5.0
1269,1669.0,6.0
1270,1670.0,6.0
1271,1671.0,3.0
1272,1672.0,4.0
1273,1673.0,1.0
1274,1674.0,1.0
1275,1675.0,5.0
1276,1676.0,1.0
1277,1677.0,5.0
1278,1678.0,5.0
1279,1680.0,4.0
1280,1681.0,1.0
1281,1682.0,4.0
1282,1683.0,5.0
1283,1684.0,4.0
1284,1685.0,5.0
1285,1686.0,3.0
1286,1687.0,4.0
1287,1688.0,3.0
1288,1689.0,1.0
1289,1690.0,10.0
1290,1691.0,2.0
1291,1693.0,5.0
1292,1694.0,4.0
1293,1695.0,3.0
1294,1696.0,2.0
1295,1697.0,5.0
1296,1698.0,2.0
1297,1699.0,4.0
1298,1700.0,12.0
1299,1701.0,1.0
1300,1702.0,4.0
1301,1703.0,2.0
1302,1704.0,2.0
1303,1705.0,2.0
1304,1706.0,7.0
1305,1707.0,5.0
1306,1708.0,4.0
1307,1709.0,5.0
1308,1710.0,6.0
1309,1711.0,4.0
1310,1712.0,6.0
1311,1713.0,3.0
1312,1715.0,3.0
1313,1716.0,7.0
1314,1717.0,5.0
1315,1718.0,3.0
1316,1719.0,4.0
1317,1720.0,9.0
1318,1721.0,4.0
1319,1722.0,3.0
1320,1723.0,2.0
1321,1724.0,2.0
1322,1725.0,3.0
1323,1726.0,3.0
1324,1727.0,5.0
1325,1728.0,4.0
1326,1729.0,7.0
1327,1730.0,9.0
1328,1731.0,3.0
1329,1732.0,6.0
