,Volcano Name,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
551,Iriomote-jima,Japan,Ryukyu Is,24.558000000000003,124.0,-200.0,Submarine volcano,Historical
552,Irruputuncu,Bolivia,Chile-N,-20.73,-68.55,5163.0,Stratovolcano,Historical
553,Isanotski,United States,Aleutian Is,54.75,-163.73,2446.0,Stratovolcano,Historical
554,Isarog,Philippines,Luzon-Philippines,13.658,123.37,1966.0,Stratovolcano,Holocene
555,Ischia,Italy,Italy,40.73,13.897,789.0,Complex volcano,Historical
556,Iskut-Unuk River Cones,Canada,Canada,56.58,-130.55,1880.0,Cinder cone,Radiocarbon
557,Isluga,Chile,Chile-N,-19.15,-68.83,5050.0,Stratovolcano,Historical
558,Itasy Volc Field,Madagascar,Madagascar,-19.0,46.77,1800.0,Scoria cone,Radiocarbon
559,"Ithnayn, Harrat",Saudi Arabia,Arabia-W,26.58,40.2,1625.0,Volcanic field,Holocene
560,Ivao Group,Russia,Kuril Is,45.77,149.68,1426.0,Cinder cone,Holocene
561,Iwaki,Japan,Honshu-Japan,40.65,140.3,1625.0,Stratovolcano,Historical
562,Iwate,Japan,Honshu-Japan,39.85,141.0,2041.0,Complex volcano,Historical
563,Iwo-Tori-shima,Japan,Ryukyu Is,27.85,128.25,217.0,Complex volcano,Historical
564,Iwo-jima,Japan,Volcano Is-Japan,24.75,141.33,161.0,Caldera,Historical
565,Ixtepeque,Guatemala,Guatemala,14.42,-89.68,1292.0,Lava dome,Holocene
566,Iya,Indonesia,Lesser Sunda Is,-8.88,121.63,637.0,Stratovolcano,Historical
567,Iyang-Argapura,Indonesia,Java,-7.97,113.57,3088.0,Complex volcano,Holocene
568,Izalco,El Salvador,El Salvador,13.812999999999999,-89.633,1950.0,Stratovolcano,Historical
569,Iztaccihuatl,Mexico,Mexico,19.179000000000002,-98.64200000000001,5230.0,Stratovolcano,Holocene
570,Izu-Tobu,Japan,Honshu-Japan,34.92,139.12,1406.0,Pyroclastic cone,Historical
571,Izumbwe-Mpoli,Tanzania,Africa-E,-8.93,33.4,1568.0,Pyroclastic cone,Holocene
572,Jailolo,Indonesia,Halmahera-Indonesia,1.08,127.42,1130.0,Stratovolcano,Holocene
